Polish,English
szczerze, honestly
prawie umarłem, i nearly died
to niesprawiedliwe, its not fair
taki nieuprzejmy, so rude
czas na obiad, time for dinner
wyczyścić kuchenkę, clean the cooker
zrobić wszystkie prace domowe, do all the housework
odkurzać półki, vacuum the shelves
składać ubrania, fold the clothes
wyprasuj swoje ubrania, iron your clothes
upadać, to fall
gdzieś, somewhere
wylądować, to land
poważny, serious
nie mogę żyć bez miłości, i cannot live without love
nie możemy czekać do rana, we can't wait till morning
pół, half
myślę że go zwolnią, I think they will fire him
spieszyć się, to hurry
lepiej go unikac, it's best to avoid him
dopóki, until
nosić, to wear
sprawdzić, check out
wygląd, look
wspaniale, gorgeous
mieć do czynienia, deal with
znak krzyża, sign of the cross
zmieniać, turn into
niszczyć, destroy
skorzystać z okazji, take a chance
dziecko,baby
obierać ze skórki, peel
piec np mięso, roast
podczas gdy,while
spotkać się ponownie,meet again
każdy,any
kwadrat lub skwer,square
mówić,speak
smażyc, fry
gotować, boil
podawać, serve
ostrzeżenie,Warning
smakować, taste
mógłby,could
walizka lub przypadek,case
zamrażać lub mrozić, freeze
obrócić na drugą stronę, turn
ich,their
starszy brat, big brother
szwagier, brother-in-law
teść, father-in-law
miejsce,place
możliwość rozwoju kariery, career development opportunities
elastyczne godziny pracy, flexitime
praca na pełen etat, fulltime job
którego lub czyj,whose
wynagrodzenie, renumeration
być za coś odpowiedzialnym, to be responsible to for sth
zajmować się czymś, to deal with sth
dłoń,hand
osiągnąć rezultaty, to achieve results
strona lub bok,side
osiągać cele, to meet targets
mieć w czymś bogate doświadczenie, to have a wide experience in sth
być w czymś dobrym, to be good at sth
ktoś kto cięzko pracuje, a hard worker
rano,morning
tyle,so much
z reguły, as a rule
generalnie, in general
ogólnie rzecz biorąc, on the whole
w pewnym sensie, in the sense
pod pewnym względem, in the way
do pewnego stopnia, to a certain extent
z przodu,in front of
w stronę,towards
w pewnym stopniu, up to a point
żądanie lub prośba,request
umieszczony,placed
o ile mi wiadomo, as far as i know
z tego co wiem, for all i know
chciałby,would like to
jeśli chodzi o, as for
odnośnie do, regarding
przyczyna,cause
wreszcie,finally
innymi słowy, in other words
że tak powiem, so to speak
czekać,Wait
to znaczy, that is to say
ostatnim punktem jest, the final point is
dlatego, therefore
na skutek, as a result
odpowiednio, accordingly
ziemia,Earth
rachunek lub konto,account
stąd, hence
daleko lub długo,far
skoro, once
przez co, whereas
kochanie,sweetheart
tak czy owak, anyhow
w każdym razie, at any rate
jak następuje, as follows
z powodu, because of or due to
można stwierdzić że, we can state that
na tym zakończę swoją prezentację, that completes my presentation
jak przedtem mówiłam, as i said before
pozwolę sobie dodać, let me add
